Date Time,Slave_Device1_CH1_FLOW m3/h,Slave_Device1_CH2_VELOCITY m/s,Slave_Device1_CH3_Pressure BAR
2023-07-29 15:27:40,193.0,3.0,126.0
2023-07-29 16:01:40,209.0,3.0,126.0
2023-07-29 16:14:41,0.0,0.0,119.0
2023-07-29 16:27:41,307.0,4.0,118.0
2023-07-29 16:40:42,280.0,4.0,110.0
2023-07-29 16:53:43,207.0,3.0,112.0
2023-07-29 17:24:44,196.0,3.0,111.0
2023-07-29 17:34:45,246.0,4.0,110.0
2023-07-29 17:44:45,313.0,4.0,110.0
2023-07-29 17:54:46,230.0,3.0,109.0
2023-07-29 18:04:47,332.0,5.0,113.0
2023-07-29 18:14:47,325.0,5.0,109.0
2023-07-29 18:24:47,265.0,4.0,110.0
2023-07-29 18:34:55,224.0,3.0,109.0
2023-07-29 18:44:48,349.0,5.0,112.0
2023-07-29 19:11:50,227.0,3.0,113.0
2023-07-29 19:18:50,230.0,3.0,110.0
2023-07-29 19:25:50,0.0,0.0,113.0
2023-07-29 19:32:51,258.0,4.0,113.0
2023-07-29 19:39:51,296.0,4.0,111.0
2023-07-29 20:22:53,368.0,5.0,104.0
2023-07-29 20:26:53,269.0,4.0,104.0
2023-07-29 20:30:54,299.0,4.0,106.0
2023-07-29 20:34:54,193.0,3.0,106.0
2023-07-29 20:38:54,240.0,3.0,103.0
2023-07-29 20:42:54,218.0,3.0,104.0
2023-07-29 20:46:54,213.0,3.0,104.0
2023-07-29 20:50:55,213.0,3.0,104.0
2023-07-29 20:54:55,234.0,3.0,104.0
2023-07-29 20:58:55,257.0,4.0,106.0
2023-07-29 21:02:55,207.0,3.0,104.0
2023-07-29 21:06:59,205.0,3.0,104.0
2023-07-29 21:10:56,0.0,0.0,104.0
2023-07-29 21:14:56,214.0,3.0,103.0
2023-07-29 21:18:56,0.0,0.0,104.0
2023-07-29 21:22:56,313.0,4.0,104.0
2023-07-29 21:26:56,209.0,3.0,106.0
2023-07-29 21:30:57,252.0,4.0,107.0
2023-07-29 21:34:57,257.0,4.0,106.0
2023-07-29 21:38:57,265.0,4.0,106.0
2023-07-29 21:42:57,271.0,4.0,104.0
2023-07-29 21:46:57,344.0,5.0,104.0
2023-07-29 21:50:58,278.0,4.0,106.0
2023-07-29 21:54:58,309.0,4.0,106.0
2023-07-29 21:58:58,250.0,4.0,107.0
2023-07-29 22:02:58,246.0,4.0,107.0
2023-07-29 22:07:02,249.0,4.0,106.0
2023-07-29 22:10:59,250.0,4.0,104.0
2023-07-29 22:14:59,219.0,3.0,107.0
2023-07-29 22:18:59,307.0,4.0,106.0
2023-07-29 22:22:59,224.0,3.0,107.0
2023-07-29 22:27:00,270.0,4.0,107.0
2023-07-29 22:30:59,271.0,4.0,106.0
2023-07-29 22:35:01,255.0,4.0,107.0
2023-07-29 22:39:00,200.0,3.0,107.0
2023-07-29 22:43:00,259.0,4.0,106.0
2023-07-29 22:47:00,283.0,4.0,106.0
2023-07-29 22:51:01,240.0,3.0,106.0
2023-07-29 22:55:01,221.0,3.0,106.0
2023-07-29 22:59:01,282.0,4.0,107.0
2023-07-29 23:03:02,299.0,4.0,106.0
2023-07-29 23:07:05,233.0,3.0,107.0
2023-07-29 23:11:02,238.0,3.0,107.0
2023-07-29 23:15:02,270.0,4.0,107.0
2023-07-29 23:19:02,0.0,0.0,109.0
2023-07-29 23:23:02,209.0,3.0,107.0
2023-07-29 23:29:03,202.0,3.0,109.0
2023-07-29 23:33:03,0.0,0.0,107.0
2023-07-29 23:37:03,214.0,3.0,107.0
2023-07-29 23:41:03,225.0,3.0,107.0
2023-07-29 23:45:03,237.0,3.0,109.0
2023-07-29 23:49:03,212.0,3.0,107.0
2023-07-29 23:53:04,189.0,3.0,109.0
2023-07-30 00:06:17,0.0,0.0,45.0
2023-07-30 00:10:18,0.0,0.0,34.0
2023-07-30 00:14:18,0.0,0.0,25.0
2023-07-30 00:18:18,0.0,0.0,19.0
2023-07-30 00:22:20,0.0,0.0,17.0
2023-07-30 00:26:20,0.0,0.0,15.0
